S.No.,Province,Name of Town
803,Central Province,Kiriwan Eliya
804,Central Province,Kiriwanagoda
805,Central Province,Kiriwaula
806,Central Province,Kiriwavula
807,Central Province,Kirlulgama
808,Central Province,Kitulangomuwa
809,Central Province,Kituldora
810,Central Province,Kitulpe
811,Central Province,Kiul-ulpota
812,Central Province,Kiula
813,Central Province,Kiulewadiya
814,Central Province,Kobbeakaduwa
815,Central Province,Kobbekaduwa
816,Central Province,Kobbewala
817,Central Province,Kobbewehera
818,Central Province,Kochchikaduwa
819,Central Province,Kohilawatta
820,Central Province,Kohodeniya
821,Central Province,Koholanwala
822,Central Province,Koholanwela
823,Central Province,Koholdeniya
824,Central Province,Kohomada
825,Central Province,Kohonapuwakgaha-ela
826,Central Province,Kollawela
827,Central Province,Kolonella
828,Central Province,Kolongastenna
829,Central Province,Kolugala
830,Central Province,Konakagala
831,Central Province,Konakalagala
832,Central Province,Kondadeniya
833,Central Province,Kongahakotuwa
834,Central Province,Kongahamulla
835,Central Province,Kongahawela
836,Central Province,Konkalagala
837,Central Province,Korahagoda
838,Central Province,Korahana
839,Central Province,Kosgalla
840,Central Province,Kosgama
841,Central Province,Kosgolla
842,Central Province,Koshinna
843,Central Province,Kosinna
844,Central Province,Koskote
845,Central Province,Kosruppe
846,Central Province,Kossinna
847,Central Province,Koswana
848,Central Province,Koswatta
849,Central Province,Kotabogoda
850,Central Province,Kotagala
851,Central Province,Kotagepitiya
852,Central Province,Kotagepitiya
853,Central Province,Kotakedeniya
854,Central Province,Kotakepitiya
855,Central Province,Kotakumbura
856,Central Province,Kotaligoda
857,Central Province,Kotambe
858,Central Province,Kotawagura
859,Central Province,Kotikambe
860,Central Province,Kotinkaduwa
861,Central Province,Kotiyagala
862,Central Province,Kotmale
863,Central Province,Kottala
864,Central Province,Kottinkaduwa
865,Central Province,Labugama
866,Central Province,Labugolla
867,Central Province,Lagamuwa
868,Central Province,Landupita
869,Central Province,Lappanagama
870,Central Province,Legundeniya
871,Central Province,Leloya
872,Central Province,Lemasuriyagama
873,Central Province,Lenadora
874,Central Province,Lenawala
875,Central Province,Lendora
876,Central Province,Lesliewatta
877,Central Province,Letiyahena
878,Central Province,Leudeniya
879,Central Province,Lewdeniya
880,Central Province,Lewella
881,Central Province,Lewellagolla
882,Central Province,Lewla
883,Central Province,Lindula
884,Central Province,Linipitiya
885,Central Province,Liniyaketiya
886,Central Province,Liyandeniya
887,Central Province,Liyanwela Helagama
888,Central Province,Liyanwela Pahalagama
889,Central Province,Loolkade
890,Central Province,Lunugama
891,Central Province,Maberiya
892,Central Province,Madadeniya
893,Central Province,Madahapolakanda
894,Central Province,Madakumbura
895,Central Province,Madampitiya
896,Central Province,Madanpitiya
897,Central Province,Madanwala
898,Central Province,Madawala
899,Central Province,Madawala Demalabage
900,Central Province,Madawala Madige
901,Central Province,Madawala Ulpota
902,Central Province,Madiligama
903,Central Province,Madipola Marakkalabage
904,Central Province,Madugalla
905,Central Province,Madulkele
906,Central Province,Madulkele Bazaar
907,Central Province,Madulla
908,Central Province,Madumana
909,Central Province,Maha Aswedduma
910,Central Province,Maha Pattapola
911,Central Province,Mahagama Egodagama
912,Central Province,Mahagama Megodagama
913,Central Province,Mahaiyawa
914,Central Province,Mahakumbura
